ref,bitrate,GAN,NoGAN,NoPreference
1,6,9,5,6
1,12,16,1,3
1,25,11,5,4
1,50,5,2,9
2,6,15,0,5
2,12,12,1,7
2,25,13,2,5
3,6,11,7,2
4,6,13,0,7
4,12,13,1,6
4,25,10,6,4
4,50,5,0,11
5,6,14,0,6
6,6,18,0,2
6,12,10,6,4
6,25,10,4,6
6,50,2,3,11
7,6,5,5,10
8,6,15,1,4
8,12,16,1,3
8,25,5,4,11
8,50,4,2,10
9,6,15,0,5
9,12,14,0,6
9,25,14,0,6
9,50,7,2,7
9,75,2,3,15
10,6,16,1,3
10,12,19,0,1
10,25,9,2,9
10,50,6,0,10
11,6,12,5,3
11,12,13,4,3
11,25,7,3,10
13,6,15,1,4
13,12,17,2,1
13,25,11,1,8
14,6,12,1,7
14,12,10,5,5
16,6,13,6,1
16,12,15,3,2
16,25,6,5,9
17,6,11,5,4
17,12,12,4,4
17,25,14,0,6
17,50,11,2,3
17,75,4,3,13
18,6,15,0,5
18,12,11,4,5
18,25,11,3,6
18,50,6,3,7
19,6,14,2,4
19,12,11,2,7
19,25,5,4,11
20,6,13,1,6
20,12,9,4,7
21,6,16,2,2
21,12,11,6,3
21,25,8,3,9
21,50,2,2,12
21,75,2,2,16
22,6,15,5,0
22,12,13,3,4
22,25,8,3,9
22,50,1,2,13
23,6,9,4,7
23,12,12,5,3
23,25,8,1,11
24,6,11,5,4
24,12,9,3,8
24,25,15,1,4
24,50,7,3,6
24,75,2,1,17
25,6,13,4,3
25,12,8,4,8
25,25,1,2,17
26,6,17,0,2
26,12,12,2,6
27,6,13,1,6
27,12,11,4,5
27,25,11,5,4
27,50,10,2,4
27,75,5,1,14
29,6,10,2,8
29,12,4,4,12
29,25,1,1,18
30,6,18,0,2
30,12,13,3,4
31,6,8,5,7
32,6,13,2,5
32,12,14,5,1
32,25,14,4,2
32,50,5,3,8
33,6,13,1,6
33,12,9,2,9
34,6,14,1,5
34,12,8,5,7
34,25,5,4,11
34,50,2,3,11
35,6,11,4,5
35,12,18,0,2
35,25,5,5,10
35,50,3,2,11
36,6,14,2,4
36,12,12,5,3
36,25,6,4,10
36,50,2,2,12
38,6,13,2,5
39,6,16,1,3
39,12,14,5,1
39,25,7,1,12
40,6,14,3,3
40,12,10,1,9
42,6,14,5,1
44,6,12,6,2
44,12,14,3,3
44,25,12,2,6
45,6,13,5,2
45,12,4,6,10
46,6,15,1,4
46,12,11,1,8
46,25,4,5,10
47,6,13,0,7
47,12,12,5,3
47,25,12,4,4
47,50,4,4,8
47,75,7,0,13
49,6,11,4,5
49,12,10,5,5
49,25,5,1,14
49,50,5,0,11
49,75,2,3,15
